,Date,Open
0,2021-01-29,14807.899
1,2021-01-30,14893.016
2,2021-01-31,14975.01
3,2021-02-01,15056.73
4,2021-02-02,15107.594
5,2021-02-03,14969.474
6,2021-02-04,14904.574
7,2021-02-05,14952.447
8,2021-02-06,15049.761
9,2021-02-07,15163.905
10,2021-02-08,15281.14
11,2021-02-09,15375.162
12,2021-02-10,15525.424
13,2021-02-11,15622.903
14,2021-02-12,15758.323
15,2021-02-13,15864.056
16,2021-02-14,15937.972
17,2021-02-15,16092.433
18,2021-02-16,16216.265
19,2021-02-17,16380.653
20,2021-02-18,16468.951
21,2021-02-19,16541.865
22,2021-02-20,16528.72
23,2021-02-21,16471.201
24,2021-02-22,16494.918
25,2021-02-23,16610.482
26,2021-02-24,16622.285
27,2021-02-25,16576.879
28,2021-02-26,16419.854
29,2021-02-27,16092.921
