,Date,Open
0,2021-01-29,13388.578
1,2021-01-30,13491.294
2,2021-01-31,13549.508
3,2021-02-01,13540.876
4,2021-02-02,13604.069
5,2021-02-03,13529.748
6,2021-02-04,13497.131
7,2021-02-05,13526.365
8,2021-02-06,13555.557
9,2021-02-07,13609.04
10,2021-02-08,13660.064
11,2021-02-09,13742.484
12,2021-02-10,13806.713
13,2021-02-11,13874.171
14,2021-02-12,13909.208
15,2021-02-13,13968.887
16,2021-02-14,14031.09
17,2021-02-15,14097.637
18,2021-02-16,14204.255
19,2021-02-17,14330.368
20,2021-02-18,14353.472
21,2021-02-19,14465.436
22,2021-02-20,14487.455
23,2021-02-21,14445.288
24,2021-02-22,14432.766
25,2021-02-23,14474.252
26,2021-02-24,14465.063
27,2021-02-25,14499.635
28,2021-02-26,14450.376
29,2021-02-27,14269.872
