,Date,Open
0,2021-01-29,13634.16
1,2021-01-30,13709.661
2,2021-01-31,13769.43
3,2021-02-01,13828.05
4,2021-02-02,13873.556
5,2021-02-03,13825.053
6,2021-02-04,13812.991
7,2021-02-05,13843.707
8,2021-02-06,13877.2295
9,2021-02-07,13919.354
10,2021-02-08,13966.54
11,2021-02-09,14018.953
12,2021-02-10,14161.409
13,2021-02-11,14269.069
14,2021-02-12,14384.05
15,2021-02-13,14467.624
16,2021-02-14,14534.959
17,2021-02-15,14644.304
18,2021-02-16,14741.313
19,2021-02-17,14858.475
20,2021-02-18,14945.827
21,2021-02-19,15021.346
22,2021-02-20,15052.577
23,2021-02-21,15064.63
24,2021-02-22,15086.752
25,2021-02-23,15146.282
26,2021-02-24,15127.886
27,2021-02-25,15107.527
28,2021-02-26,15023.877
29,2021-02-27,14863.937
