,Date,Open
0,2021-01-29,13622.849
1,2021-01-30,13705.672
2,2021-01-31,13783.232
3,2021-02-01,13833.038
4,2021-02-02,13871.959
5,2021-02-03,13820.346
6,2021-02-04,13798.091
7,2021-02-05,13837.91
8,2021-02-06,13871.751
9,2021-02-07,13905.921
10,2021-02-08,13939.911
11,2021-02-09,14012.952
12,2021-02-10,14155.095
13,2021-02-11,14278.388
14,2021-02-12,14377.074
15,2021-02-13,14456.605
16,2021-02-14,14525.433
17,2021-02-15,14617.248
18,2021-02-16,14723.768
19,2021-02-17,14845.023
20,2021-02-18,14918.893
21,2021-02-19,15004.814
22,2021-02-20,15054.811
23,2021-02-21,15074.905
24,2021-02-22,15085.479
25,2021-02-23,15129.353
26,2021-02-24,15096.367
27,2021-02-25,15080.016
28,2021-02-26,15023.48
29,2021-02-27,14896.342
