,Date,Open
0,2021-01-29,14112.892
1,2021-01-30,14213.707
2,2021-01-31,14321.939
3,2021-02-01,14387.297
4,2021-02-02,14376.807
5,2021-02-03,14274.611
6,2021-02-04,14252.414
7,2021-02-05,14271.728
8,2021-02-06,14328.184
9,2021-02-07,14395.2705
10,2021-02-08,14487.932
11,2021-02-09,14612.881
12,2021-02-10,14771.0205
13,2021-02-11,14910.516
14,2021-02-12,14979.305
15,2021-02-13,15052.398
16,2021-02-14,15132.313
17,2021-02-15,15270.759
18,2021-02-16,15374.023
19,2021-02-17,15517.915
20,2021-02-18,15548.854
21,2021-02-19,15586.048
22,2021-02-20,15610.011
23,2021-02-21,15669.749
24,2021-02-22,15708.654
25,2021-02-23,15736.73
26,2021-02-24,15622.108
27,2021-02-25,15528.107
28,2021-02-26,15415.439
29,2021-02-27,15269.899
