,Date,Open
0,2021-01-29,13603.811
1,2021-01-30,13649.584
2,2021-01-31,13684.161
3,2021-02-01,13727.717
4,2021-02-02,13764.13
5,2021-02-03,13671.817
6,2021-02-04,13602.829
7,2021-02-05,13598.514
8,2021-02-06,13647.978
9,2021-02-07,13730.371
10,2021-02-08,13825.524
11,2021-02-09,13890.316
12,2021-02-10,13964.18
13,2021-02-11,14010.539
14,2021-02-12,14087.157
15,2021-02-13,14163.648
16,2021-02-14,14218.522
17,2021-02-15,14320.954
18,2021-02-16,14413.241
19,2021-02-17,14517.504
20,2021-02-18,14597.197
21,2021-02-19,14638.472
22,2021-02-20,14599.005
23,2021-02-21,14524.047
24,2021-02-22,14512.1875
25,2021-02-23,14577.976
26,2021-02-24,14647.387
27,2021-02-25,14636.561
28,2021-02-26,14515.158
29,2021-02-27,14253.73
