,Date,Open
0,2021-01-29,13520.952
1,2021-01-30,13549.45
2,2021-01-31,13600.98
3,2021-02-01,13666.467
4,2021-02-02,13686.761
5,2021-02-03,13573.957
6,2021-02-04,13488.167
7,2021-02-05,13498.141
8,2021-02-06,13584.197
9,2021-02-07,13694.366
10,2021-02-08,13795.668
11,2021-02-09,13853.779
12,2021-02-10,13940.271
13,2021-02-11,13992.6
14,2021-02-12,14093.021
15,2021-02-13,14168.354
16,2021-02-14,14217.386
17,2021-02-15,14320.473
18,2021-02-16,14389.3125
19,2021-02-17,14486.8125
20,2021-02-18,14545.334
21,2021-02-19,14550.478
22,2021-02-20,14504.736
23,2021-02-21,14441.532
24,2021-02-22,14455.117
25,2021-02-23,14545.506
26,2021-02-24,14581.863
27,2021-02-25,14526.88
28,2021-02-26,14386.977
29,2021-02-27,14127.21
