,Date,Open
0,2021-01-29,13763.972
1,2021-01-30,13819.311
2,2021-01-31,13865.36
3,2021-02-01,13907.7295
4,2021-02-02,13935.267
5,2021-02-03,13848.615
6,2021-02-04,13807.954
7,2021-02-05,13832.015
8,2021-02-06,13892.817
9,2021-02-07,13962.144
10,2021-02-08,14030.625
11,2021-02-09,14077.545
12,2021-02-10,14159.57
13,2021-02-11,14222.249
14,2021-02-12,14326.574
15,2021-02-13,14410.016
16,2021-02-14,14463.3545
17,2021-02-15,14558.964
18,2021-02-16,14626.774
19,2021-02-17,14728.442
20,2021-02-18,14783.801
21,2021-02-19,14844.629
22,2021-02-20,14838.634
23,2021-02-21,14788.615
24,2021-02-22,14789.548
25,2021-02-23,14858.234
26,2021-02-24,14884.615
27,2021-02-25,14872.705
28,2021-02-26,14780.47
29,2021-02-27,14562.693
