,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume
0,2021-04-16,0.16666666666666666,14599.599609,14697.700195,14559.0,14621.75,14621.75,0.0
1,2021-04-15,0.25,14522.400391,14597.549805,14353.200195,14581.450195,14581.450195,568000.0
2,2021-04-13,0.2222222222222222,14364.900391,14528.900391,14274.900391,14504.799805,14504.799805,605100.0
3,2021-04-12,-0.08333333333333333,14644.650391,14652.5,14248.700195,14310.799805,14310.799805,650200.0
4,2021-04-09,0.14285714285714285,14882.650391,14918.450195,14785.650391,14834.849609,14834.849609,504100.0
5,2021-04-08,0.2857142857142857,14875.650391,14984.150391,14821.099609,14873.799805,14873.799805,514800.0
6,2021-04-07,0.25,14716.450195,14879.799805,14649.849609,14819.049805,14819.049805,0.0
7,2021-04-06,0.3333333333333333,14737.0,14779.099609,14573.900391,14683.5,14683.5,475300.0
8,2021-04-05,-0.1111111111111111,14837.700195,14849.849609,14459.5,14637.799805,14637.799805,509700.0
9,2021-04-01,0.5,14798.400391,14883.200195,14692.450195,14867.349609,14867.349609,445000.0
10,2021-03-31,0.1,14811.849609,14813.75,14670.25,14690.700195,14690.700195,463900.0
11,2021-03-30,0.6,14628.5,14876.299805,14617.599609,14845.099609,14845.099609,594500.0
12,2021-03-26,0.5,14506.299805,14572.900391,14414.25,14507.299805,14507.299805,481000.0
13,2021-03-25,0.0,14570.900391,14575.599609,14264.400391,14324.900391,14324.900391,606800.0
14,2021-03-24,0.0,14712.450195,14752.349609,14535.0,14549.400391,14549.400391,456400.0
15,2021-03-23,0.0,14768.549805,14878.599609,14707.0,14814.75,14814.75,474200.0
16,2021-03-22,0.2,14736.299805,14763.900391,14597.849609,14736.400391,14736.400391,459000.0
17,2021-03-19,0.375,14471.150391,14788.25,14350.099609,14744.0,14744.0,919200.0
18,2021-03-18,-0.2222222222222222,14855.5,14875.200195,14478.599609,14557.849609,14557.849609,542200.0
19,2021-03-17,-0.2857142857142857,14946.549805,14956.549805,14696.049805,14721.299805,14721.299805,100.0
20,2021-03-16,-0.3333333333333333,14996.099609,15051.599609,14890.650391,14910.450195,14910.450195,100.0
21,2021-03-15,0.4,15048.400391,15048.400391,14745.849609,14929.5,14929.5,467500.0
22,2021-03-12,-0.14285714285714285,15321.150391,15336.299805,14953.599609,15030.950195,15030.950195,493200.0
23,2021-03-10,0.25,15202.150391,15218.450195,15100.849609,15174.799805,15174.799805,404600.0
24,2021-03-09,0.14285714285714285,15049.900391,15126.849609,14925.450195,15098.400391,15098.400391,675300.0
25,2021-03-08,0.25,15002.450195,15111.150391,14919.900391,14956.200195,14956.200195,0.0
26,2021-03-05,0.0,14977.950195,15092.349609,14862.099609,14938.099609,14938.099609,640700.0
27,2021-03-04,-0.125,15026.75,15202.349609,14980.200195,15080.75,15080.75,534900.0
28,2021-03-03,0.42857142857142855,15064.400391,15273.150391,14995.799805,15245.599609,15245.599609,544200.0
29,2021-03-02,0.2727272727272727,14865.299805,14959.099609,14760.799805,14919.099609,14919.099609,621700.0
30,2021-03-01,0.3333333333333333,14702.5,14806.799805,14638.549805,14761.549805,14761.549805,507300.0
31,2021-02-26,-0.2,14888.599609,14919.450195,14467.75,14529.150391,14529.150391,1103600.0
32,2021-02-25,0.2,15079.849609,15176.5,15065.349609,15097.349609,15097.349609,803900.0
33,2021-02-24,0.14285714285714285,14729.150391,15008.799805,14504.5,14982.0,14982.0,403800.0
34,2021-02-23,0.16666666666666666,14782.25,14854.5,14651.849609,14707.799805,14707.799805,744100.0
