,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume,2day_weighted,3day_weighted
0,2021-04-16,0.16666666666666666,14599.599609,14697.700195,14559.0,14621.75,14621.75,0.0,0.166666666,0.16666
1,2021-04-15,0.25,14522.400391,14597.549805,14353.200195,14581.450195,14581.450195,568000.0,0.22,0.25
2,2021-04-13,0.2222222222222222,14364.900391,14528.900391,14274.900391,14504.799805,14504.799805,605100.0,0.22916666666666669,0.22083333333333333
3,2021-04-12,-0.08333333333333333,14644.650391,14652.5,14248.700195,14310.799805,14310.799805,650200.0,0.018333333333333333,0.09027777777777776
4,2021-04-09,0.14285714285714285,14882.650391,14918.450195,14785.650391,14834.849609,14834.849609,504100.0,0.06678571428571428,0.07956349206349206
5,2021-04-08,0.2857142857142857,14875.650391,14984.150391,14821.099609,14873.799805,14873.799805,514800.0,0.2357142857142857,0.16190476190476188
6,2021-04-07,0.25,14716.450195,14879.799805,14649.849609,14819.049805,14819.049805,0.0,0.2592857142857143,0.24107142857142858
7,2021-04-06,0.3333333333333333,14737.0,14779.099609,14573.900391,14683.5,14683.5,475300.0,0.3025,0.29464285714285715
8,2021-04-05,-0.1111111111111111,14837.700195,14849.849609,14459.5,14637.799805,14637.799805,509700.0,0.03666666666666667,0.11666666666666665
9,2021-04-01,0.5,14798.400391,14883.200195,14692.450195,14867.349609,14867.349609,445000.0,0.29333333333333333,0.25277777777777777
10,2021-03-31,0.1,14811.849609,14813.75,14670.25,14690.700195,14690.700195,463900.0,0.231,0.19777777777777777
11,2021-03-30,0.6,14628.5,14876.299805,14617.599609,14845.099609,14845.099609,594500.0,0.42900000000000005,0.405
12,2021-03-26,0.5,14506.299805,14572.900391,14414.25,14507.299805,14507.299805,481000.0,0.528,0.455
13,2021-03-25,0.0,14570.900391,14575.599609,14264.400391,14324.900391,14324.900391,606800.0,0.165,0.295
14,2021-03-24,0.0,14712.450195,14752.349609,14535.0,14549.400391,14549.400391,456400.0,0.0,0.1
15,2021-03-23,0.0,14768.549805,14878.599609,14707.0,14814.75,14814.75,474200.0,0.0,0.0
16,2021-03-22,0.2,14736.299805,14763.900391,14597.849609,14736.400391,14736.400391,459000.0,0.132,0.09000000000000001
