,Unnamed: 0,Date,bert_scores,Open,High,Low,Close,Adj Close,Volume,windowSize_2,windowSize_3,week_1,week_2
0,0,2021-04-16,0.16666666666666666,14599.599609,14697.700195,14559.0,14621.75,14621.75,0.0,0.166666666,0.16666,0.16666666666666666,0.16666666666666666
1,1,2021-04-15,0.25,14522.400391,14597.549805,14353.200195,14581.450195,14581.450195,568000.0,0.20833333333333331,0.25,0.25,0.25
2,2,2021-04-13,0.2222222222222222,14364.900391,14528.900391,14274.900391,14504.799805,14504.799805,605100.0,0.2361111111111111,0.21296296296296294,0.2222222222222222,0.2222222222222222
3,3,2021-04-12,-0.08333333333333333,14644.650391,14652.5,14248.700195,14310.799805,14310.799805,650200.0,0.06944444444444445,0.12962962962962962,-0.08333333333333333,-0.08333333333333333
4,4,2021-04-09,0.14285714285714285,14882.650391,14918.450195,14785.650391,14834.849609,14834.849609,504100.0,0.02976190476190476,0.09391534391534391,0.14285714285714285,0.14285714285714285
5,5,2021-04-08,0.2857142857142857,14875.650391,14984.150391,14821.099609,14873.799805,14873.799805,514800.0,0.21428571428571427,0.11507936507936507,0.2857142857142857,0.2857142857142857
6,6,2021-04-07,0.25,14716.450195,14879.799805,14649.849609,14819.049805,14819.049805,0.0,0.26785714285714285,0.2261904761904762,0.17630385487528347,0.25
7,7,2021-04-06,0.3333333333333333,14737.0,14779.099609,14573.900391,14683.5,14683.5,475300.0,0.29166666666666663,0.28968253968253965,0.20011337868480725,0.3333333333333333
8,8,2021-04-05,-0.1111111111111111,14837.700195,14849.849609,14459.5,14637.799805,14637.799805,509700.0,0.1111111111111111,0.1574074074074074,0.14852607709750565,-0.1111111111111111
9,9,2021-04-01,0.5,14798.400391,14883.200195,14692.450195,14867.349609,14867.349609,445000.0,0.19444444444444445,0.24074074074074073,0.18820861678004536,0.5
10,10,2021-03-31,0.1,14811.849609,14813.75,14670.25,14690.700195,14690.700195,463900.0,0.3,0.16296296296296295,0.21439909297052154,0.1
11,11,2021-03-30,0.6,14628.5,14876.299805,14617.599609,14845.099609,14845.099609,594500.0,0.35,0.39999999999999997,0.2797052154195011,0.6
12,12,2021-03-26,0.5,14506.299805,14572.900391,14414.25,14507.299805,14507.299805,481000.0,0.55,0.4000000000000001,0.3103174603174604,0.5
13,13,2021-03-25,0.0,14570.900391,14575.599609,14264.400391,14324.900391,14324.900391,606800.0,0.25,0.3666666666666667,0.2746031746031746,0.225453514739229
14,14,2021-03-24,0.0,14712.450195,14752.349609,14535.0,14549.400391,14549.400391,456400.0,0.0,0.16666666666666666,0.226984126984127,0.21354875283446711
15,15,2021-03-23,0.0,14768.549805,14878.599609,14707.0,14814.75,14814.75,474200.0,0.0,0.0,0.24285714285714288,0.19569160997732427
16,16,2021-03-22,0.2,14736.299805,14763.900391,14597.849609,14736.400391,14736.400391,459000.0,0.1,0.06666666666666667,0.19999999999999998,0.19410430839002266
17,17,2021-03-19,0.375,14471.150391,14788.25,14350.099609,14744.0,14744.0,919200.0,0.2875,0.19166666666666665,0.23928571428571427,0.2268424036281179
18,18,2021-03-18,-0.2222222222222222,14855.5,14875.200195,14478.599609,14557.849609,14557.849609,542200.0,0.0763888888888889,0.1175925925925926,0.12182539682539684,0.200765306122449
19,19,2021-03-17,-0.2857142857142857,14946.549805,14956.549805,14696.049805,14721.299805,14721.299805,100.0,-0.25396825396825395,-0.0443121693121693,0.009580498866213158,0.1599489795918367
20,20,2021-03-16,-0.3333333333333333,14996.099609,15051.599609,14890.650391,14910.450195,14910.450195,100.0,-0.30952380952380953,-0.2804232804232804,-0.03803854875283447,0.11828231292517004
21,21,2021-03-15,0.4,15048.400391,15048.400391,14745.849609,14929.5,14929.5,467500.0,0.033333333333333354,-0.07301587301587299,0.019104308390022688,0.12304421768707484
22,22,2021-03-12,-0.14285714285714285,15321.150391,15336.299805,14953.599609,15030.950195,15030.950195,493200.0,0.1285714285714286,-0.02539682539682538,-0.0013038548752834342,0.12077664399092972
23,23,2021-03-10,0.25,15202.150391,15218.450195,15100.849609,15174.799805,15174.799805,404600.0,0.053571428571428575,0.16904761904761903,0.0058390022675736996,0.10291950113378687
24,24,2021-03-09,0.14285714285714285,15049.900391,15126.849609,14925.450195,15098.400391,15098.400391,675300.0,0.19642857142857142,0.08333333333333333,-0.027324263038548742,0.10598072562358277
25,25,2021-03-08,0.25,15002.450195,15111.150391,14919.900391,14956.200195,14956.200195,0.0,0.19642857142857142,0.21428571428571427,0.04013605442176871,0.08098072562358276
26,26,2021-03-05,0.0,14977.950195,15092.349609,14862.099609,14938.099609,14938.099609,640700.0,0.125,0.13095238095238096,0.08095238095238096,0.04526643990929705
27,27,2021-03-04,-0.125,15026.75,15202.349609,14980.200195,15080.75,15080.75,534900.0,-0.0625,0.041666666666666664,0.1107142857142857,0.03633786848072562
28,28,2021-03-03,0.42857142857142855,15064.400391,15273.150391,14995.799805,15245.599609,15245.599609,544200.0,0.15178571428571427,0.10119047619047618,0.11479591836734694,0.06695011337868483
29,29,2021-03-02,0.2727272727272727,14865.299805,14959.099609,14760.799805,14919.099609,14919.099609,621700.0,0.35064935064935066,0.1920995670995671,0.17416512059369202,0.08643063285920428
30,30,2021-03-01,0.3333333333333333,14702.5,14806.799805,14638.549805,14761.549805,14761.549805,507300.0,0.303030303030303,0.34487734487734484,0.1860698824984539,0.0959544423830138
31,31,2021-02-26,-0.2,14888.599609,14919.450195,14467.75,14529.150391,14529.150391,1103600.0,0.06666666666666665,0.13535353535353534,0.13709029066171924,0.05488301381158524
32,32,2021-02-25,0.2,15079.849609,15176.5,15065.349609,15097.349609,15097.349609,803900.0,0.0,0.1111111111111111,0.1299474335188621,0.0850417439703154
33,33,2021-02-24,0.14285714285714285,14729.150391,15008.799805,14504.5,14982.0,14982.0,403800.0,0.17142857142857143,0.047619047619047616,0.15035559678416818,0.11565398886827459
34,34,2021-02-23,0.16666666666666666,14782.25,14854.5,14651.849609,14707.799805,14707.799805,744100.0,0.15476190476190477,0.16984126984126982,0.19202226345083487,0.15136827458256027
35,35,2021-02-22,-0.42857142857142855,14999.049805,15010.099609,14635.049805,14675.700195,14675.700195,609900.0,-0.13095238095238093,-0.03968253968253967,0.06957328385899815,0.09218460111317253
36,36,2021-02-19,0.0,15074.799805,15144.049805,14898.200195,14981.75,14981.75,712200.0,-0.21428571428571427,-0.08730158730158728,0.030612244897959186,0.10238868274582559
37,37,2021-02-18,0.125,15238.700195,15250.75,15078.049805,15118.950195,15118.950195,770600.0,0.0625,-0.10119047619047618,0.0008503401360544227,0.09346011131725417
38,38,2021-02-17,-0.1111111111111111,15279.900391,15314.299805,15170.75,15208.900391,15208.900391,504800.0,0.0069444444444444475,0.004629629629629632,0.013548752834467123,0.07531952174809317
39,39,2021-02-16,0.25,15371.450195,15431.75,15242.200195,15313.450195,15313.450195,648500.0,0.06944444444444445,0.08796296296296297,0.020691609977324266,0.07531952174809317
40,40,2021-02-15,0.2727272727272727,15270.299805,15340.150391,15243.400391,15314.700195,15314.700195,456000.0,0.26136363636363635,0.1372053872053872,0.0392444856730571,0.09480004122861266
41,41,2021-02-12,0.2222222222222222,15186.200195,15243.5,15081.0,15163.299805,15163.299805,571800.0,0.24747474747474746,0.2483164983164983,0.04718099360956505,0.11960162853019995
42,42,2021-02-11,0.42857142857142855,15073.25,15188.5,15065.400391,15173.299805,15173.299805,500100.0,0.32539682539682535,0.3078403078403078,0.16962997320140175,0.11960162853019994
43,43,2021-02-10,0.25,15119.049805,15168.25,14977.200195,15106.5,15106.5,624800.0,0.3392857142857143,0.3002645502645503,0.2053442589156875,0.11797825190682333
44,44,2021-02-09,0.5,15164.150391,15257.099609,15064.299805,15109.299805,15109.299805,713300.0,0.375,0.39285714285714285,0.258915687487116,0.12988301381158524
45,45,2021-02-08,0.5555555555555556,15064.299805,15159.900391,15041.049805,15115.799805,15115.799805,671200.0,0.5277777777777778,0.4351851851851852,0.3541537827252113,0.1838512677798392
46,46,2021-02-05,0.3333333333333333,14952.599609,15014.650391,14864.75,14924.25,14924.25,935600.0,0.4444444444444444,0.46296296296296297,0.36605854462997317,0.1933750773036487
47,47,2021-02-04,0.3333333333333333,14789.049805,14913.700195,14714.75,14895.650391,14895.650391,884700.0,0.3333333333333333,0.40740740740740744,0.37471655328798187,0.2069805194805195
48,48,2021-02-03,0.5,14754.900391,14868.849609,14574.150391,14789.950195,14789.950195,869500.0,0.41666666666666663,0.38888888888888884,0.4143990929705215,0.23079004329004332
49,49,2021-02-02,0.5,14481.099609,14731.700195,14469.150391,14647.849609,14647.849609,915000.0,0.5,0.4444444444444444,0.4246031746031746,0.29711657390228824
