,Date,Open
0,2021-01-29,13422.086
1,2021-01-30,13489.514
2,2021-01-31,13549.623
3,2021-02-01,13606.012
4,2021-02-02,13622.289
5,2021-02-03,13432.317
6,2021-02-04,13396.591
7,2021-02-05,13484.525
8,2021-02-06,13600.793
9,2021-02-07,13708.104
10,2021-02-08,13799.399
11,2021-02-09,13840.038
12,2021-02-10,13931.191
13,2021-02-11,13961.921
14,2021-02-12,14064.518
15,2021-02-13,14123.896
16,2021-02-14,14155.679
17,2021-02-15,14286.807
18,2021-02-16,14353.79
19,2021-02-17,14475.597
20,2021-02-18,14489.886
21,2021-02-19,14519.527
22,2021-02-20,14457.695
23,2021-02-21,14381.206
24,2021-02-22,14435.86
25,2021-02-23,14567.415
26,2021-02-24,14553.38
27,2021-02-25,14486.326
28,2021-02-26,14318.879
29,2021-02-27,13995.216
