,Date
399,03/20/14
400,03/21/14
401,03/22/14
402,03/24/14
403,03/25/14
404,03/26/14
405,03/27/14
406,03/28/14
407,03/31/14
408,04/01/14
409,04/02/14
410,04/03/14
411,04/04/14
412,04/07/14
413,04/09/14
414,04/10/14
415,04/11/14
416,04/15/14
417,04/16/14
418,04/17/14
419,04/21/14
420,04/22/14
421,04/23/14
422,04/24/14
423,04/25/14
424,04/28/14
425,04/29/14
426,04/30/14
427,05/02/14
428,05/05/14
429,05/06/14
430,05/07/14
431,05/08/14
432,05/09/14
433,05/12/14
434,05/13/14
435,05/14/14
436,05/15/14
437,05/16/14
438,05/19/14
439,05/20/14
440,05/21/14
441,05/22/14
442,05/23/14
443,05/26/14
444,05/27/14
445,05/28/14
446,05/29/14
447,05/30/14
448,06/02/14
449,06/03/14
450,06/04/14
451,06/05/14
452,06/06/14
453,06/09/14
454,06/10/14
455,06/11/14
456,06/12/14
457,06/13/14
458,06/16/14
459,06/17/14
460,06/18/14
461,06/19/14
462,06/20/14
463,06/23/14
464,06/24/14
465,06/25/14
466,06/26/14
467,06/27/14
468,06/30/14
469,07/01/14
470,07/02/14
471,07/03/14
472,07/04/14
473,07/07/14
474,07/08/14
475,07/09/14
476,07/10/14
477,07/11/14
478,07/14/14
479,07/15/14
480,07/16/14
481,07/17/14
482,07/18/14
483,07/21/14
484,07/22/14
485,07/23/14
486,07/24/14
487,07/25/14
488,07/28/14
489,07/30/14
490,07/31/14
491,08/01/14
492,08/04/14
493,08/05/14
494,08/06/14
495,08/07/14
496,08/08/14
497,08/11/14
498,08/12/14
499,08/13/14
500,08/14/14
501,08/18/14
502,08/19/14
503,08/20/14
504,08/21/14
505,08/22/14
506,08/25/14
507,08/26/14
508,08/27/14
509,08/28/14
510,09/01/14
511,09/02/14
512,09/03/14
513,09/04/14
514,09/05/14
515,09/08/14
516,09/09/14
517,09/10/14
518,09/11/14
519,09/12/14
520,09/15/14
521,09/16/14
522,09/17/14
523,09/18/14
524,09/19/14
525,09/22/14
526,09/23/14
527,09/24/14
528,09/25/14
529,09/26/14
530,09/29/14
531,09/30/14
532,10/01/14
533,10/07/14
534,10/08/14
535,10/09/14
536,10/10/14
537,10/13/14
538,10/14/14
539,10/15/14
540,10/16/14
541,10/17/14
542,10/20/14
543,10/21/14
544,10/22/14
545,10/27/14
546,10/28/14
547,10/29/14
548,10/30/14
549,10/31/14
550,11/03/14
551,11/05/14
552,11/07/14
553,11/10/14
554,11/11/14
555,11/12/14
556,11/13/14
557,11/14/14
558,11/17/14
559,11/18/14
560,11/19/14
561,11/20/14
562,11/21/14
563,11/24/14
564,11/25/14
565,11/26/14
566,11/27/14
567,11/28/14
568,12/01/14
569,12/02/14
570,12/03/14
571,12/04/14
572,12/05/14
573,12/08/14
574,12/09/14
575,12/10/14
576,12/11/14
577,12/12/14
578,12/15/14
579,12/16/14
580,12/17/14
581,12/18/14
582,12/19/14
583,12/22/14
584,12/23/14
585,12/24/14
586,12/26/14
587,12/29/14
588,12/30/14
589,12/31/14
590,01/01/15
591,01/02/15
592,01/05/15
593,01/06/15
594,01/07/15
595,01/08/15
596,01/09/15
597,01/12/15
598,01/13/15
599,01/14/15
600,01/15/15
601,01/16/15
602,01/19/15
603,01/20/15
604,01/21/15
605,01/22/15
606,01/23/15
607,01/27/15
608,01/28/15
609,01/29/15
610,01/30/15
611,02/02/15
612,02/03/15
613,02/04/15
614,02/05/15
615,02/06/15
616,02/09/15
617,02/10/15
618,02/11/15
619,02/12/15
620,02/13/15
621,02/16/15
622,02/18/15
623,02/19/15
624,02/20/15
625,02/23/15
626,02/24/15
627,02/25/15
