,Dates,scores
0,4/16/2021,0.2104
1,4/15/2021,0.17027499999999998
2,4/14/2021,0.25899999999999995
3,4/13/2021,0.2482333333333333
4,4/12/2021,0.134625
5,4/11/2021,0.296
6,4/10/2021,-0.27294999999999997
7,4/9/2021,0.2804285714285714
8,4/8/2021,0.2639142857142857
9,4/7/2021,0.2768625
10,4/6/2021,0.22848888888888888
11,4/5/2021,0.24307777777777778
12,4/4/2021,0.14975999999999998
13,4/3/2021,-0.03
14,4/2/2021,0.3833333333333333
15,4/1/2021,0.3704125
16,3/31/2021,0.26721000000000006
17,3/30/2021,0.40944
18,3/29/2021,0.06997500000000001
19,3/28/2021,0.5307999999999999
20,3/27/2021,0.1909
21,3/26/2021,0.3196875
22,3/25/2021,0.2280444444444445
23,3/24/2021,0.3681
24,3/23/2021,0.26280000000000003
25,3/22/2021,0.29168
26,3/21/2021,0.23835
27,3/20/2021,0.7545
28,3/19/2021,0.266175
29,3/18/2021,0.29634444444444447
30,3/17/2021,0.23602857142857142
31,3/16/2021,0.11298333333333332
32,3/15/2021,0.38724
33,3/14/2021,0.253575
34,3/13/2021,-0.105375
35,3/12/2021,0.2678285714285714
36,3/11/2021,0.0
37,3/10/2021,0.287825
38,3/9/2021,0.23472857142857143
39,3/8/2021,0.2511875
40,3/7/2021,0.23343333333333335
41,3/6/2021,0.21989999999999998
42,3/5/2021,0.2701111111111111
43,3/4/2021,0.272775
44,3/3/2021,0.3545142857142857
45,3/2/2021,0.27404545454545454
46,3/1/2021,0.2381416666666667
47,2/28/2021,-0.11383999999999998
48,2/27/2021,0.1909
49,2/26/2021,0.19103999999999996
50,2/25/2021,0.4514
51,2/24/2021,0.1332142857142857
52,2/23/2021,0.2853333333333333
53,2/22/2021,0.22422857142857142
54,2/21/2021,0.3021
55,2/20/2021,0.0
56,2/19/2021,0.19804000000000002
57,2/18/2021,0.008312500000000014
58,2/17/2021,0.11245555555555556
59,2/16/2021,0.230075
60,2/15/2021,0.30930909090909087
61,2/14/2021,0.18045
62,2/13/2021,0.1468
63,2/12/2021,0.26545555555555556
64,2/11/2021,0.3192857142857143
65,2/10/2021,0.164825
66,2/9/2021,0.3478875
67,2/8/2021,0.33274444444444445
68,2/7/2021,0.45382500000000003
69,2/6/2021,0.42135
70,2/5/2021,0.3124833333333333
71,2/4/2021,0.23149999999999998
72,2/3/2021,0.31051249999999997
73,2/2/2021,0.5178833333333333
74,2/1/2021,0.36110000000000003
75,1/31/2021,0.18784
76,1/30/2021,0.40727500000000005
77,1/29/2021,0.24114
78,1/28/2021,0.19232
79,1/27/2021,0.23202222222222224
80,1/26/2021,0.0
81,1/25/2021,0.1466
82,1/24/2021,-0.02363333333333333
83,1/23/2021,0.17102
84,1/22/2021,0.18134285714285717
85,1/21/2021,0.16974545454545453
86,1/20/2021,0.26678749999999996
87,1/19/2021,0.24375000000000002
88,1/18/2021,0.395175
89,1/17/2021,0.2502571428571429
90,1/16/2021,0.28595
91,1/15/2021,0.2511
92,1/14/2021,0.1819285714285714
93,1/13/2021,0.2868307692307692
94,1/12/2021,0.08108749999999998
95,1/11/2021,0.2407375
96,1/10/2021,0.38345714285714283
97,1/9/2021,0.1735
98,1/8/2021,0.29186999999999996
99,1/7/2021,0.24114
100,1/6/2021,0.20073636363636368
101,1/5/2021,0.228825
102,1/4/2021,0.2687222222222222
103,1/3/2021,0.27746666666666664
104,1/2/2021,0.0
105,1/1/2021,0.2186285714285714
106,12/31/2020,0.44878999999999997
107,12/30/2020,0.2153090909090909
108,12/29/2020,0.21135
109,12/28/2020,0.4745000000000001
110,12/27/2020,0.37843000000000004
111,12/26/2020,0.23609999999999998
112,12/25/2020,0.28607499999999997
113,12/24/2020,0.2252111111111111
114,12/23/2020,0.2974
115,12/22/2020,0.38683333333333336
116,12/21/2020,0.14926666666666663
117,12/20/2020,0.251525
118,12/19/2020,0.44349999999999995
119,12/18/2020,0.2716166666666667
120,12/17/2020,0.5075999999999999
121,12/16/2020,0.38525
122,12/15/2020,0.2608125
123,12/14/2020,0.33334545454545456
124,12/13/2020,0.5187
125,12/12/2020,0.1909
126,12/11/2020,0.31351999999999997
127,12/10/2020,0.3098
128,12/9/2020,0.2923142857142857
129,12/8/2020,0.39172857142857137
130,12/7/2020,0.4633166666666666
131,12/6/2020,0.279625
132,12/5/2020,0.347425
133,12/4/2020,0.36754
134,12/3/2020,0.4847
135,12/2/2020,0.3315666666666666
136,12/1/2020,0.41681428571428564
137,11/30/2020,0.56015
138,11/29/2020,0.34316
139,11/28/2020,0.31142857142857144
140,11/27/2020,0.15186000000000002
141,11/26/2020,0.14055555555555557
142,11/25/2020,0.32634166666666664
143,11/24/2020,0.2960636363636363
144,11/23/2020,0.29666363636363635
145,11/22/2020,0.19138000000000002
146,11/21/2020,0.0
147,11/20/2020,0.20095
148,11/19/2020,0.27814444444444447
149,11/18/2020,0.23901111111111106
150,11/17/2020,0.27578888888888886
151,11/16/2020,0.1936
152,11/15/2020,0.28306
153,11/14/2020,0.25339999999999996
154,11/13/2020,0.11519999999999997
155,11/12/2020,0.34407499999999996
156,11/11/2020,0.15615999999999997
157,11/10/2020,0.31666363636363637
158,11/9/2020,0.23943999999999996
159,11/8/2020,0.14853999999999998
160,11/7/2020,0.3151
161,11/6/2020,0.29993
162,11/5/2020,0.4028333333333333
163,11/4/2020,0.20095
164,11/3/2020,0.3082625
165,11/2/2020,0.28615
166,11/1/2020,0.06793333333333333
167,10/30/2020,0.22744
168,10/29/2020,0.2626
169,10/28/2020,0.2870714285714286
