Date,Open,High,Low,Close,Adj Close,Volume,scores
2012-08-07,5295.399902,5350.100098,5281.649902,5336.700195,5336.700195,0.0,0.43799999999999994
2012-08-08,5345.25,5377.600098,5331.049805,5338.0,5338.0,0.0,0.1822
2012-08-09,5348.299805,5368.200195,5312.100098,5322.950195,5322.950195,0.0,-0.009333333333333341
2012-08-10,5308.200195,5330.100098,5294.100098,5320.399902,5320.399902,0.0,0.062185714285714275
2012-08-13,5316.350098,5352.450195,5309.049805,5347.899902,5347.899902,0.0,0.27721428571428575
2012-08-14,5343.25,5387.049805,5328.799805,5380.350098,5380.350098,0.0,0.3318375
2012-08-16,5385.950195,5390.649902,5356.649902,5362.950195,5362.950195,0.0,0.3905714285714286
2012-08-17,5368.600098,5399.950195,5341.700195,5366.299805,5366.299805,0.0,0.3222
2012-08-21,5368.700195,5425.149902,5368.700195,5421.0,5421.0,0.0,0.3662375
2012-08-22,5395.75,5433.350098,5394.799805,5412.850098,5412.850098,0.0,0.19610999999999995
2012-08-23,5426.149902,5448.600098,5393.850098,5415.350098,5415.350098,0.0,0.26722999999999997
2012-08-24,5392.600098,5399.649902,5371.0,5386.700195,5386.700195,0.0,0.1666090909090909
2012-08-27,5387.850098,5399.149902,5346.649902,5350.25,5350.25,0.0,0.08917272727272728
2012-08-28,,,,,,,0.17862499999999998
2012-08-29,5343.850098,5345.5,5282.700195,5287.799805,5287.799805,0.0,0.19279000000000002
2012-08-30,5268.600098,5342.799805,5255.049805,5315.049805,5315.049805,0.0,-0.04346
2012-08-31,5298.200195,5303.25,5238.899902,5258.5,5258.5,0.0,0.06556999999999999
2012-09-03,5276.5,5295.799805,5243.149902,5253.75,5253.75,0.0,0.23659999999999998
2012-09-04,5249.149902,5278.350098,5233.200195,5274.0,5274.0,0.0,0.09790909090909089
2012-09-05,5243.899902,5259.5,5215.700195,5225.700195,5225.700195,0.0,0.07728181818181817
2012-09-06,5217.649902,5260.600098,5217.649902,5238.399902,5238.399902,0.0,0.23983000000000004
2012-09-07,5309.450195,5347.149902,5309.200195,5342.100098,5342.100098,0.0,0.24918
2012-09-08,,,,,,,0.66076
2012-09-10,5361.899902,5375.450195,5349.100098,5363.450195,5363.450195,0.0,0.17633749999999998
2012-09-11,5336.100098,5393.350098,5332.100098,5390.0,5390.0,0.0,0.05145555555555555
2012-09-12,5404.450195,5435.549805,5393.950195,5431.0,5431.0,0.0,0.26765999999999995
2012-09-13,5435.200195,5447.450195,5421.850098,5435.350098,5435.350098,0.0,0.23261111111111113
2012-09-14,5528.350098,5586.649902,5526.950195,5577.649902,5577.649902,0.0,0.35423
2012-09-17,5631.75,5652.200195,5585.149902,5610.0,5610.0,0.0,0.29891666666666666
