,Date,Open
0,2021-01-29,13917.037
1,2021-01-30,13985.943
2,2021-01-31,14050.199
3,2021-02-01,14114.229
4,2021-02-02,14135.058
5,2021-02-03,13983.4795
6,2021-02-04,13918.076
7,2021-02-05,13950.102
8,2021-02-06,14032.501
9,2021-02-07,14124.741
10,2021-02-08,14213.366
11,2021-02-09,14284.103
12,2021-02-10,14390.846
13,2021-02-11,14461.857
14,2021-02-12,14550.115
15,2021-02-13,14612.4
16,2021-02-14,14653.62
17,2021-02-15,14771.165
18,2021-02-16,14859.009
19,2021-02-17,14979.702
20,2021-02-18,15025.527
21,2021-02-19,15059.546
22,2021-02-20,15020.195
23,2021-02-21,14955.128
24,2021-02-22,14967.612
25,2021-02-23,15056.784
26,2021-02-24,15045.764
27,2021-02-25,14981.006
28,2021-02-26,14837.948
29,2021-02-27,14562.381
