,Date,Open
0,2021-01-29,13542.503
1,2021-01-30,13630.049
2,2021-01-31,13707.796
3,2021-02-01,13752.157
4,2021-02-02,13739.303
5,2021-02-03,13638.934
6,2021-02-04,13615.175
7,2021-02-05,13640.304
8,2021-02-06,13720.6
9,2021-02-07,13813.488
10,2021-02-08,13905.853
11,2021-02-09,13975.547
12,2021-02-10,14038.752
13,2021-02-11,14104.191
14,2021-02-12,14158.389
15,2021-02-13,14244.069
16,2021-02-14,14318.042
17,2021-02-15,14431.942
18,2021-02-16,14503.972
19,2021-02-17,14611.997
20,2021-02-18,14626.412
21,2021-02-19,14665.46
22,2021-02-20,14679.7
23,2021-02-21,14675.674
24,2021-02-22,14671.653
25,2021-02-23,14712.38
26,2021-02-24,14691.616
27,2021-02-25,14693.458
28,2021-02-26,14631.019
29,2021-02-27,14437.804
