,Date,Open
0,2021-01-29,13979.985
1,2021-01-30,14083.976
2,2021-01-31,14184.158
3,2021-02-01,14275.281
4,2021-02-02,14343.7
5,2021-02-03,14333.835
6,2021-02-04,14319.002
7,2021-02-05,14354.126
8,2021-02-06,14415.123
9,2021-02-07,14500.328
10,2021-02-08,14595.731
11,2021-02-09,14703.622
12,2021-02-10,14921.692
13,2021-02-11,15104.147
14,2021-02-12,15243.818
15,2021-02-13,15347.184
16,2021-02-14,15442.271
17,2021-02-15,15565.1875
18,2021-02-16,15730.836
19,2021-02-17,15888.021
20,2021-02-18,16055.489
21,2021-02-19,16162.81
22,2021-02-20,16244.375
23,2021-02-21,16308.285
24,2021-02-22,16338.46
25,2021-02-23,16422.967
26,2021-02-24,16446.23
27,2021-02-25,16488.18
28,2021-02-26,16475.145
29,2021-02-27,16407.992
