,Date,Open
0,2021-01-29,13717.284
1,2021-01-30,13777.025
2,2021-01-31,13844.307
3,2021-02-01,13906.675
4,2021-02-02,13942.301
5,2021-02-03,13883.525
6,2021-02-04,13860.05
7,2021-02-05,13874.338
8,2021-02-06,13912.536
9,2021-02-07,13959.44
10,2021-02-08,14009.779
11,2021-02-09,14063.888
12,2021-02-10,14138.295
13,2021-02-11,14200.263
14,2021-02-12,14275.362
15,2021-02-13,14337.086
16,2021-02-14,14391.64
17,2021-02-15,14498.049
18,2021-02-16,14586.234
19,2021-02-17,14709.06
20,2021-02-18,14784.572
21,2021-02-19,14852.632
22,2021-02-20,14869.102
23,2021-02-21,14862.119
24,2021-02-22,14885.781
25,2021-02-23,14943.58
26,2021-02-24,14935.202
27,2021-02-25,14899.083
28,2021-02-26,14813.605
29,2021-02-27,14638.791
