,Date,Open
0,2021-01-29,14367.145
1,2021-01-30,14461.04
2,2021-01-31,14535.489
3,2021-02-01,14607.887
4,2021-02-02,14668.742
5,2021-02-03,14637.672
6,2021-02-04,14622.64
7,2021-02-05,14653.125
8,2021-02-06,14685.06
9,2021-02-07,14724.581
10,2021-02-08,14768.787
11,2021-02-09,14828.429
12,2021-02-10,15012.436
13,2021-02-11,15165.25
14,2021-02-12,15310.656
15,2021-02-13,15422.123
16,2021-02-14,15512.936
17,2021-02-15,15642.234
18,2021-02-16,15773.333
19,2021-02-17,15917.091
20,2021-02-18,16046.142
21,2021-02-19,16147.89
22,2021-02-20,16213.796
23,2021-02-21,16255.915
24,2021-02-22,16277.066
25,2021-02-23,16338.75
26,2021-02-24,16316.845
27,2021-02-25,16296.845
28,2021-02-26,16207.871
29,2021-02-27,16053.2
