Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,13946.599609,13966.849609,13596.750000,13634.599609,13634.599609,753200
2021-02-01,13758.599609,14336.349609,13661.750000,14281.200195,14281.200195,870500
2021-02-02,14481.099609,14731.700195,14469.150391,14647.849609,14647.849609,915000
2021-02-03,14754.900391,14868.849609,14574.150391,14789.950195,14789.950195,869500
2021-02-04,14789.049805,14913.700195,14714.750000,14895.650391,14895.650391,884700
2021-02-05,14952.599609,15014.650391,14864.750000,14924.250000,14924.250000,935600
2021-02-08,15064.299805,15159.900391,15041.049805,15115.799805,15115.799805,671200
2021-02-09,15164.150391,15257.099609,15064.299805,15109.299805,15109.299805,713300
2021-02-10,15119.049805,15168.250000,14977.200195,15106.500000,15106.500000,624800
2021-02-11,15073.250000,15188.500000,15065.400391,15173.299805,15173.299805,500100
2021-02-12,15186.200195,15243.500000,15081.000000,15163.299805,15163.299805,571800
2021-02-15,15270.299805,15340.150391,15243.400391,15314.700195,15314.700195,456000
2021-02-16,15371.450195,15431.750000,15242.200195,15313.450195,15313.450195,648500
2021-02-17,15279.900391,15314.299805,15170.750000,15208.900391,15208.900391,504800
2021-02-18,15238.700195,15250.750000,15078.049805,15118.950195,15118.950195,770600
2021-02-19,15074.799805,15144.049805,14898.200195,14981.750000,14981.750000,712200
2021-02-22,14999.049805,15010.099609,14635.049805,14675.700195,14675.700195,609900
2021-02-23,14782.250000,14854.500000,14651.849609,14707.799805,14707.799805,744100
2021-02-24,14729.150391,15008.799805,14504.500000,14982.000000,14982.000000,403800
2021-02-25,15079.849609,15176.500000,15065.349609,15097.349609,15097.349609,803900
2021-02-26,14888.599609,14919.450195,14467.750000,14529.150391,14529.150391,1103600
